Alpha,Gamma,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,Temperature,Supersaturation,OriginalPerimeter,CompactnessNormalized,BranchingFactor
2.5,0.01,143287,7752,0.4108794077878117,419.3925757366726,333.17412864746865,2385,60.07840670859539,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.5,143287,0.029963264352493954,3.7030759959290243
2.5,0.0091,131035,6548,0.3757464612942968,327.2126073161582,333.17412864746865,2390,54.82635983263598,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.455,131035,0.03840429840810243,3.127933645684114
2.5,0.0082,142975,8947,0.40998473921892686,559.8797621922722,333.17412864746865,2393,59.74717927287923,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.41,142975,0.022444766649657215,4.273919109336556
2.5,0.0073,126507,7845,0.3627622969356096,486.4871113812952,333.17412864746865,2395,52.82129436325678,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.365,126507,0.02583083974944294,3.747501443248606
2.5,0.0064,107071,9048,0.30702903313802915,764.5982945824304,333.17412864746865,2398,44.65012510425355,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.32,107071,0.01643525849231003,4.322166100511586
2.5,0.0055,106839,8781,0.3063637667662943,721.7023839541581,333.17412864746865,2400,44.51625,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.2749999999999999,106839,0.017412122910542574,4.194622074336012
2.5,0.0046,115237,11483,0.3304452624121103,1144.244374626689,333.17412864746865,2406,47.89567747298421,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.2299999999999999,115237,0.010982243734735267,5.485348511513543
2.5,0.0037,150095,19668,0.43040153476527243,2577.2359105727887,333.17412864746865,2692,55.75594353640416,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.185,150095,0.004875910103038472,9.395265568618685
2.5,0.0028,81781,10070,0.2345092635640011,1239.9567136469357,333.17412864746865,2699,30.300481659874027,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.1399999999999999,81781,0.010134523629655938,4.8103683280450555
2.5,0.0019,74223,13089,0.21283649098825955,2308.205286739849,333.17412864746865,2709,27.39867109634552,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.095,74223,0.005444217066125329,6.252523440494711
2.5,0.001,54429,11306,0.15607665235843307,2348.4840066444635,333.17412864746865,2713,20.06229266494656,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.05,54429,0.005350843598923694,5.400796853711758
2.5,0.0001,34729,28278,0.09958187584222293,23025.289641998752,333.1816321467917,2724,12.749265785609396,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-20.0,0.005,34729,0.0005457638452927826,13.507897928238496
2.0,0.01,131023,5841,0.37571205096472426,260.39154194103025,333.17412864746865,2685,48.79813780260707,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.5,131023,0.0482595191863365,2.790204707458905
2.0,0.0091,153359,7848,0.4397611444089904,401.6138863685756,333.17412864746865,2689,57.03198214949796,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.455,153359,0.03128968155932839,3.748934522194399
2.0,0.0082,125221,6618,0.3590746566164241,349.7650074640055,333.17412864746865,2690,46.55055762081784,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.41,125221,0.03592803838603478,3.161372154419283
2.0,0.0073,182297,10075,0.5227416541730562,556.8145663364903,333.17412864746865,2978,61.21457353928811,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.365,182297,0.022568322335691362,4.812756792954711
2.0,0.0064,95003,4182,0.27242371169795915,184.09022872768134,333.17412864746865,2984,31.837466487935657,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.32,95003,0.06826201858228555,1.9977120504353947
2.0,0.0055,99447,5783,0.2851670037496389,336.2905768868212,333.17412864746865,2992,33.23763368983957,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.2749999999999999,99447,0.03736759659031914,2.7624985145069076
2.0,0.0046,81693,5683,0.23425692114713614,395.33973534580275,333.17412864746865,2995,27.276460767946578,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.2299999999999999,81693,0.03178625746590635,2.714729216313809
2.0,0.0037,87037,7025,0.24958098791675282,567.0074221243034,333.17412864746865,3003,28.983349983349985,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.185,87037,0.02216262102378556,3.3557931980651956
2.0,0.0028,99685,10574,0.28584947528616,1121.6278878354656,333.17412864746865,3292,30.280984204131222,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.1399999999999999,99685,0.01120368952173949,5.051125590938274
2.0,0.0019,69257,7217,0.19859634960017636,752.0552290634586,333.17412864746865,3302,20.974258025439127,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.095,69257,0.01670937203618211,3.447510250595945
2.0,0.001,80091,25930,0.22966314214920838,8395.011923831704,333.17412864746865,3309,24.20398912058024,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.05,80091,0.0014968853800587138,12.386579021470537
2.0,0.0001,36963,31238,0.10599241766567018,26399.7144164056,333.17412864746865,3315,11.15022624434389,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-18.0,0.005,36963,0.0004760040360970744,14.922173369560225
1.8,0.01,166909,7129,0.47861614155126325,304.4931130118538,333.17412864746865,2981,55.990942636699096,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.5,166909,0.041269802426678964,3.405473268186018
1.8,0.0091,163201,7414,0.46798334971336303,336.8079607334709,333.17412864746865,2985,54.67370184254607,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.455,163201,0.03731019476771274,3.54161576803635
1.8,0.0082,148003,7557,0.42440266730980125,385.8587258340313,333.17412864746865,2988,49.53246318607764,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.41,148003,0.03256728375679962,3.609925864452481
1.8,0.0073,160093,9260,0.45907107435408745,535.6111760006021,333.17412864746865,2989,53.56072264971562,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.365,160093,0.023461740862304944,4.423437012680955
1.8,0.0064,127549,7431,0.3657502605534877,432.929783844382,333.17412864746865,3278,38.91061622940818,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.32,127549,0.029026348112786458,3.549736548729177
1.8,0.0055,111011,5802,0.3183270913476642,303.2420570907096,333.17412864746865,3283,33.81388973499848,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.2749999999999999,111011,0.04144006519018762,2.7715746811635964
1.8,0.0046,133049,11656,0.38152166160754675,1021.145111943561,333.17412864746865,3292,40.41585662211422,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.2299999999999999,133049,0.012306155576994209,5.567989397387604
1.8,0.0037,91557,7668,0.26254221205572503,642.203479792455,333.17412864746865,3301,27.73614056346561,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.185,91557,0.01956758412190925,3.662949785446821
1.8,0.0028,102387,11917,0.29359753449489956,1387.0402394699813,333.17412864746865,3591,28.512113617376777,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.1399999999999999,102387,0.00905984574682436,5.692667265671592
1.8,0.0019,83097,11895,0.23828292970711779,1702.7212173519777,333.17412864746865,3602,23.06968350916157,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.095,83097,0.0073801691587250615,5.68215802006911
1.8,0.001,56487,7205,0.16197802388011556,919.0083558886291,333.17412864746865,3608,15.656042128603104,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.05,56487,0.013673837167656105,3.4417779348127735
1.8,0.0001,38497,32255,0.11039120479602046,27025.09351307829,333.17412864746865,3907,9.853340158689532,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-17.2,0.005,38497,0.00046498897803818793,15.40798713218404
1.5,0.01,154691,5924,0.4435806909915371,226.86372186987694,333.17412864746865,3280,47.16189024390244,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.5,154691,0.05539171494984693,2.829853224959177
1.5,0.0091,174309,7315,0.49983584478763365,306.9791290162471,333.17412864746865,3284,53.07825822168088,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.455,174309,0.04093558625486152,3.494324162825182
1.5,0.0082,175103,7461,0.5021126615943469,317.9072945619555,333.17412864746865,3575,48.979860139860136,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-16.0,0.41,175103,0.03952841230523629,3.5640673381871064
