Alpha,Gamma,Beta,TargetSteps,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,CompactnessNormalized,BranchingFactor,Temperature,Supersaturation,OriginalPerimeter
0.0289,0.039555,0.6152,1901,108871,108871,0.767972,108871.0,212.4265,1899,57.3307,Faceted Crystal,,0.2618,1.7127,,,108871
0.0346,8.7e-05,0.4107,462,7,7,1.114084,7.0,1.4142,222,0.0315,No Growth,,0.271496,2.0257,,,7
0.3295,0.003045,0.3182,788,337,337,0.492066,337.0,14.7648,785,0.4293,Hybrid / Transition,,0.077341,2.5224,,,337
0.3169,0.002379,0.3513,542,187,187,0.476192,187.0,11.1803,542,0.345,Hybrid / Transition,,0.047681,3.1602,,,187
0.3736,0.002028,0.4774,469,421,421,0.362185,421.0,19.2354,468,0.8996,Hybrid / Transition,,0.027577,3.624,,,421
0.024,0.005499,0.7025,1802,6259,6259,0.691771,6259.0,53.6656,1801,3.4753,Faceted Crystal,,0.123512,2.3666,,,6259
0.0323,0.03812,0.4902,1743,51961,51961,0.736899,51961.0,149.8166,1743,29.8112,Faceted Crystal,,0.233011,1.7783,,,51961
0.4962,0.000117,0.3155,768,169,169,0.298858,169.0,13.4164,752,0.2247,Sparse Dendrite,,0.022681,3.63,,,169
0.2944,0.001483,0.2956,402,61,61,0.571085,61.0,5.831,373,0.1635,Hybrid / Transition,,0.094636,2.4565,,,61
0.0879,7.2e-05,0.4465,505,25,25,0.397887,25.0,4.4721,466,0.0536,No Growth,,0.038785,3.2029,,,25
1.6743,0.004958,0.6159,618,27457,27457,0.290273,27457.0,173.5195,618,44.4288,Sparse Dendrite,,0.001325,14.7984,,,27457
0.2696,0.002428,0.4509,772,601,601,0.414977,601.0,21.4709,770,0.7805,Hybrid / Transition,,0.041616,3.1578,,,601
0.0116,0.008912,0.298,1215,775,775,0.770907,775.0,17.8885,1214,0.6384,Faceted Crystal,,0.220838,1.8684,,,775
0.0328,0.031619,0.5649,2000,68407,68407,0.742199,68407.0,171.2834,2000,34.2035,Faceted Crystal,,0.237623,1.7673,,,68407
0.1935,0.013974,0.3133,1030,2365,2365,0.669158,2365.0,33.541,1025,2.3073,Faceted Crystal,,0.163765,2.0214,,,2365
0.0315,0.000809,0.1243,1263,7,7,1.114084,7.0,1.4142,633,0.0111,No Growth,,0.271496,2.0257,,,7
0.2404,0.002623,0.4703,474,259,259,0.458013,259.0,13.4164,459,0.5643,Hybrid / Transition,,0.044646,3.2029,,,259
0.4111,0.002585,0.3891,421,229,229,0.464286,229.0,12.53,421,0.5439,Hybrid / Transition,,0.047553,3.1247,,,229
0.2434,0.002888,0.3801,523,187,187,0.561547,187.0,10.2956,520,0.3596,Hybrid / Transition,,0.089541,2.5043,,,187
0.2219,0.002177,0.4575,887,613,613,0.423262,613.0,21.4709,884,0.6934,Hybrid / Transition,,0.042447,3.1578,,,613
0.2195,0.002331,0.3929,1030,487,487,0.484428,487.0,17.8885,1026,0.4747,Hybrid / Transition,,0.065358,2.7225,,,487
0.0055,0.042586,0.2697,1902,33391,33391,0.768302,33391.0,117.618,1890,17.6672,Faceted Crystal,,0.261801,1.7131,,,33391
